date,open,high,low,close
2019-06-26,11794.470008238,13967.862276815,11772.134193991,13112.782536123
2019-06-27,13141.89675185,13444.811410696,10574.654321285,11237.076652763
2019-06-28,11297.158058703,12529.344002306,11019.356262506,12482.409959829
2019-06-29,12492.976245357,12492.976245357,11653.208816827,12097.567788411
2019-06-30,12106.219065156,12309.501284794,10912.255934044,10912.255934044
2019-07-01,10908.296655923,11294.555996308,10097.196022324,10638.003271271
2019-07-02,10635.86599655,10910.542694381,9778.404061006,10818.18811951
2019-07-03,10839.724966902,11943.629838735,10839.724966902,11943.629838735
2019-07-04,11953.648746702,11992.496247476,11178.99897539,11221.25555658
2019-07-05,11216.015051262,11388.098208424,10872.022472643,10980.083327779
2019-07-06,10997.057218163,11630.409594487,10997.057218163,11266.401344947
2019-07-07,11279.686940232,11550.671929601,11174.758166612,11441.622695658
2019-07-08,11450.359933415,12297.060156092,11358.017300254,12248.874131725
2019-07-09,12243.719554925,12763.929091832,12186.139359644,12545.445221221
2019-07-10,12557.93153086,13101.374226015,11718.181749561,12147.697759751
2019-07-11,12124.389791281,12124.389791281,11143.890313031,11376.679394568
2019-07-12,11385.977039629,11850.916746255,11187.860644737,11776.082435848
2019-07-13,11776.781109921,11805.291467888,10946.06900241,11397.161429518
2019-07-14,11394.840697713,11458.269526704,10288.853124064,10288.853124064
2019-07-15,10227.417501092,11029.553923539,10041.932583832,10885.588450999
2019-07-16,10857.079408258,10996.635592681,9448.365403112,9499.558669446
2019-07-17,9450.356040111,9922.43590581,9134.258910507,9643.71473555
2019-07-18,9677.323024453,10701.623245608,9364.276558339,10629.023332162
2019-07-19,10631.69338686,10696.434230342,10225.694043316,10511.695476388
2019-07-20,10516.580157264,11025.857309485,10437.695106868,10764.700850569
2019-07-21,10746.433378123,10808.75818775,10362.648158675,10596.355696901
2019-07-22,10592.217243,10654.549992187,10175.295314143,10338.58841438
2019-07-23,10346.190304607,10346.190304607,9878.81553022,9916.381213641
2019-07-24,9878.522290743,9919.107224027,9600.322775942,9807.414231018
2019-07-25,9782.593812589,10149.16495882,9767.129919657,9904.696184087
2019-07-26,9902.672559485,9902.672559485,9712.555671751,9845.987421977
2019-07-27,9841.276385398,10143.104188821,9422.807598267,9464.99772889
2019-07-28,9493.990306474,9588.298625648,9262.952718454,9545.094701172
2019-07-29,9550.402969336,9681.389066583,9484.519080794,9533.580410388
2019-07-30,9530.152924899,9691.960963276,9439.241217675,9581.211677756
2019-07-31,9587.872869773,10080.086121152,9578.650928445,10080.086121152
2019-08-01,10084.110571105,10413.404931384,9918.184550011,10365.984725445
2019-08-02,10369.531247597,10639.945262932,10334.616880697,10523.946375083
2019-08-03,10518.066542715,10884.267576921,10498.519094738,10806.817073981
2019-08-04,10813.82497436,10986.00769305,10606.246749694,10948.187619903
2019-08-05,10930.662455659,11859.169270878,10930.662455659,11782.652143549
2019-08-06,11761.234810127,12193.908318243,11277.734510391,11497.062684201
2019-08-07,11482.916490667,12066.947311806,11420.597179321,11976.654827569
2019-08-08,11956.413469853,12019.255358112,11578.318745384,12019.255358112
2019-08-09,11996.200097433,12009.137000253,11700.385827153,11857.844469936
2019-08-10,11857.758763219,11925.963231215,11295.234140884,11342.468601716
2019-08-11,11328.601603036,11555.775899235,11217.137141763,11555.775899235
2019-08-12,11570.902065919,11570.902065919,11334.786964253,11398.762190123
2019-08-13,11405.017740566,11439.047665036,10839.200782979,10920.980312582
2019-08-14,10901.105749904,10901.105749904,10008.252864913,10010.249937915
2019-08-15,10053.512703227,10430.674821805,9615.26388667,10296.600266166
2019-08-16,10300.390060704,10501.672200434,9811.905850079,10344.507989693
2019-08-17,10342.093377563,10450.078170007,10076.206821184,10220.070168212
2019-08-18,10227.398309843,10474.365680379,10117.358356191,10331.467108077
2019-08-19,10330.503755368,10890.253796002,10291.536183267,10890.253796002
2019-08-20,10894.113749809,10916.488030507,10594.412772425,10751.857323258
2019-08-21,10748.78989426,10780.265168196,9975.001333944,10136.964618751
2019-08-22,10147.419290931,10220.768871332,9832.56349227,10123.994480368
2019-08-23,10115.150897679,10424.055968006,10069.597527933,10385.507551618
